Polymer Number,Reaction number,Polymer solubility in dichloro methane at a concentration of 40 mg/mL at room temperature,Physical state of the polymer determined by visual observation and polarized microscope analysis,Degradable,Monomer 1,Monomer 1 SMILES,Monomer 2,Monomer 2 SMILES,SMILES,Mn (kDa),Mw (kDa),D,"Monomer 1:
Monomer 2 (mole basis)",BigSMILES,Method Key
1,1,no,solid,yes,Malonyl Chloride,[Cl]C(=O)CC(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,19.11,41.07,2.15,1:01,"{[][<]C(=O)CC(=O)[<],[>]Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O[>][]}",M32
2,2,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2,5-
hexanediol(+isomers)",OC(C)CCC(C)O,C(=O)c1ccc(cc1)C(=O)OC(C)CCC(C)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC(C)CCC (C)O[>][]}",M32
3,3,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,8-octanediol",OCCCCCCCCO,C(=O)c1ccc(cc1)C(=O)OCCCCCCCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCCCCC CCO[>][]}",M32
4,4,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,9-nonanediol",OCCCCCCCCCO,C(=O)c1ccc(cc1)C(=O)OCCCCCCCCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCCCCC CCCO[>][]}",M32
5,5,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,10-decanediol",OCCCCCCCCCCO,C(=O)c1ccc(cc1)C(=O)OCCCCCCCCCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCCCCC CCCCO[>][]}",M32
6,6,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2,2,4-Trimethyl- 1,3-pentanediol",OCC(C)(C)C(C(C)C)O,C(=O)c1ccc(cc1)C(=O)OCC(C)(C)C(C(C)C)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC(C)(C) C(C(C)C)O[>][]}",M32
7,7,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2,2-Dimethyl-1,3- propanediol",OCC(C)(C)CO,C(=O)c1ccc(cc1)C(=O)OCC(C)(C)CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC(C)(C) CO[>][]}",M32
8,8,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.0 2,6]decane",OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)c1ccc(cc1)C(=O)OCC(CC(C1)C2C3)C1C2CC3CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC(CC(C 1)C2C3)C1C2CC3CO[>][]}",M32
9,9,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2,3-Butanediol",OC(C)C(C)O,C(=O)c1ccc(cc1)C(=O)OC(C)C(C)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC(C)C(C) O[>][]}",M32
10,10,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,4-Cyclohexanediol",OC(CC1)CCC1O,C(=O)c1ccc(cc1)C(=O)OC(CC1)CCC1O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC(CC1)C CC1O[>][]}",M32
11,11,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],diethylene glycol,OCCOCCO,C(=O)c1ccc(cc1)C(=O)OCCOCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCOCCO [>][]}",M32
12,12,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],triethylene glycol,OCCOCCOCCO,C(=O)c1ccc(cc1)C(=O)OCCOCCOCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCOCCO CCO[>][]}",M32
13,13,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4_-Sulfonylbis(2-methylphenol)",Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,C(=O)c1ccc(cc1)C(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1c(C)cc(
cc1)S(=O)(=O)c2ccc(c(C)c2)O[>][]}",M32
14,14,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],2-Hydroxyethyl disulfide,OCCSSCCO,C(=O)c1ccc(cc1)C(=O)OCCSSCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCSSCC O[>][]}",M32
15,15,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1
)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O[>][]}",M32
16,16,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1
)C(C)(c2ccccc2)c3ccc(cc3)O[>][]}",M32
17,17,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4_-Isopropylidenebis (2,6-dimethylphenol)",Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,C(=O)c1ccc(cc1)C(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1c(C)cc(
cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O[>][]}",M32
18,18,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4_-(9-Fluorenylidene)diphenol",C1(c4ccc(O)cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31,C1(c4ccc(OC(=O)c6ccc(cc6)C(=O))cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1)C2(c3ccccc3c4c2ccccc4c5ccc(cc5)O[>][]}",M32
19,19,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4' - Cycloehexylidenebisphenol","Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1

",Oc1ccc(C2(c3ccc(OC(=O)c4ccc(cc4)C(=O))cc3)CCCCC2)cc1,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1
)C2(CCCCC2)c3cc(cc3)O[>][]}",M32
20,20,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"(R)-(+)-1,1_-Binaphthyl-2,2_- diol",Oc1ccc(ccc c2)c2c1c3c(cccc4)c4ccc3O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(ccc c2)c2c1c3c(cccc4)c4ccc3O[>][]}",M32
21,21,yes,crystalline,no,Phthaloyl Chloride,[Cl]C(=O)c(cccc1)c1C(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)c(cccc1)c1C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,3.55,6.65,1.87,1:01,"{[][<]C(=O)c(cccc1)c1C(=O)[<],[>]Oc1ccc(cc1
)Sc2ccc(cc2)O[>][]}",M32
23,23,no,solid,no,Malonyl Chloride,[Cl]C(=O)CC(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)CC(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)CC(=O)[<],[>]Oc1c(ccc2)c(ccc1)c2O[>][]}",M32
24,24,yes,glassy,yes,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)COC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,9.96,11.85,1.19,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1ccc(cc1)C(C)(
C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O[>][]}",M32
25,25,no,solid,yes,Phthaloyl Chloride,[Cl]C(=O)c(cccc1)c1C(=O)[Cl],"1,2:5,6-Dianhydro-d-glucitol",OC(C1CO1)C(C2CO2)O,C(=O)c(cccc1)c1C(=O)OC(C1CO1)C(C2CO2)O,,,,1:01,"{[][<]C(=O)c(cccc1)c1C(=O)[<],[>]OC(C1CO1)C(C2CO2)O[>][]}",M32
26,26,yes,glassy,no,Phthaloyl Chloride,[Cl]C(=O)c(cccc1)c1C(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)c(cccc1)c1C(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)c(cccc1)c1C(=O)[<],[>]OC/C=C/C O[>][]}",M32
